"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000133623",48.9117651872604,1.17080195895203,0.308929814616087,3.78986392235081,0.000150729834204601,0.00200577869367922,"Upregulated"
"ENSMUSG00000133466",17.1257484968627,1.8880134703131,0.498860664580853,3.78465091429774,0.000153924481564711,0.00203237075172155,"Upregulated"
"ENSMUSG00000127032",8.17374771958512,-3.25169912228327,0.86052265898549,-3.77874898275991,0.000157618207390405,0.00207265982292918,"Downregulated"
"ENSMUSG00000096727",35.4560272421826,1.25300265883699,0.333636135359869,3.75559636993596,0.000172929202260491,0.00224468261620508,"Upregulated"
"ENSMUSG00000122922",25.5278476588336,-1.61289089014962,0.431135569697356,-3.74102951255406,0.000183267996534762,0.00235003140492877,"Downregulated"
"ENSMUSG00000109238",16.0053339709917,1.88033566200249,0.504303845062995,3.72857688952898,0.000192564156411825,0.0024469766149808,"Upregulated"
"ENSMUSG00000142490",33.4554771867193,1.32389162045923,0.356244300602382,3.71624645845738,0.000202204351169625,0.00255108055219673,"Upregulated"
"ENSMUSG00000091844",17.4314918018975,-1.88354514567585,0.50771261910224,-3.70986474396956,0.000207370003874625,0.00261002305471961,"Downregulated"
"ENSMUSG00000096544",96.9520338124227,-1.09003012911539,0.293898901191622,-3.70886085213598,0.000208193795682227,0.00261727574893025,"Downregulated"
"ENSMUSG00000115146",28.6947452013194,-1.42035636076093,0.38317139746039,-3.70684338699306,0.000209858627755866,0.00263391002394387,"Downregulated"
"ENSMUSG00000006546",9.62267202789425,3.26132846636911,0.880501588369637,3.70394387636243,0.00021227324160496,0.00265435700398396,"Upregulated"
"ENSMUSG00000106651",44.3478965579131,-1.16207892937477,0.314490263372727,-3.69511894235498,0.000219783875686274,0.00273607428104928,"Downregulated"
"ENSMUSG00000097435",42.0968189035115,1.29700033339254,0.351339333776518,3.69158875395814,0.000222857601377766,0.00276544834573525,"Upregulated"
"ENSMUSG00000121483",53.2091765423366,1.06956374977323,0.29081155157025,3.67785854447001,0.00023520032869407,0.00290158165124627,"Upregulated"
"ENSMUSG00000087397",22.2069661861391,1.63414671092917,0.445305628120077,3.66971941906047,0.00024281683983372,0.00297664207881359,"Upregulated"
"ENSMUSG00000070337",42.0709002642567,1.21825399349461,0.332072332439828,3.66864045716715,0.000243843717894755,0.00298556769825396,"Upregulated"
"ENSMUSG00000113362",27.3385929469473,1.39582011592497,0.381426945731979,3.65946908456169,0.00025273833034552,0.00306782548516419,"Upregulated"
"ENSMUSG00000130544",13.9830059882114,-2.11637626162449,0.578317108637076,-3.65954288748636,0.00025266555550787,0.00306782548516419,"Downregulated"
"ENSMUSG00000106691",9.25905636307949,-2.79248821001424,0.763435966730162,-3.65778969253258,0.000254399650767224,0.00308301363202758,"Downregulated"
"ENSMUSG00000130450",44.5091481043584,1.12157429354132,0.306912157701498,3.65438209401973,0.000257802100476776,0.0031078822203999,"Upregulated"
"ENSMUSG00000117893",16.0367037634305,1.92201702570687,0.526920384975458,3.6476421875316,0.00026465785577041,0.00317244351488963,"Upregulated"
"ENSMUSG00000122054",31.4771291377451,1.41288919204436,0.388183857685681,3.63974226148372,0.000272911070052028,0.00324379121767855,"Upregulated"
"ENSMUSG00000125567",14.847428432621,-1.8896075045068,0.519537545701885,-3.63709518232022,0.000275730060802792,0.00326994511254909,"Downregulated"
"ENSMUSG00000036040",44.8991228171091,-1.21488965069518,0.334248031297892,-3.63469500770951,0.000278309679968091,0.00329314951478751,"Downregulated"
"ENSMUSG00000129131",18.102074602042,1.71705674514298,0.473022160512881,3.62997104254319,0.00028345301746024,0.00334465069988659,"Upregulated"
