"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000111274",1.21883106972896,-0.882627872447277,2.23578312509845,-0.394773474465871,0.693010072565698,NA,"Not significant"
"ENSMUSG00000111278",2.2092114821911,0.25616326739473,1.43323824696634,0.178730415502752,0.858149385596345,NA,"Not significant"
"ENSMUSG00000111280",2.64681943582459,-1.05887232142877,1.35946026883264,-0.778891701144026,0.436043512946789,NA,"Not significant"
"ENSMUSG00000111292",6.99425615630618,-0.0857658605643259,0.858413137993632,-0.0999121014908816,0.920414108826772,NA,"Not significant"
"ENSMUSG00000111293",6.91931570306588,-0.110859138375807,0.849937646873096,-0.130432083793035,0.896224584204194,NA,"Not significant"
"ENSMUSG00000111301",1.78415846138048,0.27373744290664,1.57209421059605,0.174122798151425,0.861768956545104,NA,"Not significant"
"ENSMUSG00000111308",16.5308079062309,-0.33130890485676,0.537827671628356,-0.616013125270538,0.537885857184856,NA,"Not significant"
"ENSMUSG00000111312",12.7115172671371,0.475187629604233,0.61020328633769,0.778736595235675,0.436134894265904,NA,"Not significant"
"ENSMUSG00000111329",40.4985730339309,-0.303613723796172,0.345242709291473,-0.87942110180767,0.379172994756796,NA,"Not significant"
"ENSMUSG00000111334",30.6182237500036,0.118488644007669,0.381578220794402,0.310522554880069,0.756163610283947,NA,"Not significant"
