Geneid	SRR5364318
ENSMUSG00000104502	0
ENSMUSG00000103433	0
ENSMUSG00000104341	0
ENSMUSG00000102246	0
ENSMUSG00000091743	0
ENSMUSG00000102970	3
ENSMUSG00000119660	1
ENSMUSG00000064845	4
ENSMUSG00000102596	0
ENSMUSG00000098259	18
ENSMUSG00000102755	0
ENSMUSG00000100516	0
ENSMUSG00000088911	0
ENSMUSG00002075842	1
ENSMUSG00000102709	1
ENSMUSG00000104057	0
ENSMUSG00000103822	1
ENSMUSG00000049866	3895
ENSMUSG00000101736	0
ENSMUSG00000101333	0
ENSMUSG00000099544	0
ENSMUSG00000095576	0
ENSMUSG00000102700	1
ENSMUSG00000102083	0
ENSMUSG00000071890	0
ENSMUSG00000077608	0
ENSMUSG00000103102	0
ENSMUSG00000089174	0
ENSMUSG00000119403	0
ENSMUSG00000103874	0
ENSMUSG00000047384	2
ENSMUSG00000104114	0
ENSMUSG00002075930	0
ENSMUSG00000101662	0
ENSMUSG00002076983	0
ENSMUSG00000103252	2
ENSMUSG00000103195	2
ENSMUSG00000102162	0
ENSMUSG00000088951	0
ENSMUSG00000102117	2
ENSMUSG00000089700	0
ENSMUSG00002076180	0
ENSMUSG00000102442	0
ENSMUSG00000104087	0
ENSMUSG00000101951	0
ENSMUSG00000081562	0
ENSMUSG00000084400	0
ENSMUSG00002075783	0
ENSMUSG00000103215	0
ENSMUSG00000101997	0
ENSMUSG00002075076	0
ENSMUSG00000103292	0
ENSMUSG00000026012	50
ENSMUSG00000104069	0
ENSMUSG00000083118	0
ENSMUSG00000083355	1
ENSMUSG00000102549	0
ENSMUSG00000026011	0
ENSMUSG00000081382	9
ENSMUSG00000100524	0
ENSMUSG00000102499	0
ENSMUSG00000103521	0
ENSMUSG00000104098	0
ENSMUSG00000026009	3
ENSMUSG00000102561	0
ENSMUSG00000082804	0
ENSMUSG00000082661	0
ENSMUSG00000100893	0
ENSMUSG00000085248	0
ENSMUSG00000086408	0
ENSMUSG00002075578	0
ENSMUSG00000100965	0
ENSMUSG00000102168	0
ENSMUSG00000100381	0
ENSMUSG00000052062	223
ENSMUSG00000103656	0
ENSMUSG00000104402	0
ENSMUSG00000104081	0
ENSMUSG00000103002	0
ENSMUSG00000100344	0
ENSMUSG00000101509	0
ENSMUSG00000085019	1
ENSMUSG00000102359	0
ENSMUSG00000085400	3
ENSMUSG00000100750	3
ENSMUSG00000081950	0
ENSMUSG00000084333	0
ENSMUSG00000103061	0
ENSMUSG00000103978	0
ENSMUSG00000102537	1
ENSMUSG00000102612	2
ENSMUSG00000118272	0
ENSMUSG00000104002	69
ENSMUSG00000104358	23
ENSMUSG00000103716	0
ENSMUSG00000103548	0
ENSMUSG00000103760	0
ENSMUSG00000103997	0
ENSMUSG00000077231	1
ENSMUSG00000064601	0
ENSMUSG00000101714	0
ENSMUSG00000103089	0
ENSMUSG00000103096	0
ENSMUSG00000102279	0
ENSMUSG00000104348	91
ENSMUSG00000102434	0
ENSMUSG00000104523	0
ENSMUSG00000103895	0
ENSMUSG00000102648	0
ENSMUSG00000102981	0
ENSMUSG00000065533	0
ENSMUSG00000104182	0
ENSMUSG00000089790	0
ENSMUSG00000098752	0
ENSMUSG00000102523	0
ENSMUSG00000102621	0
ENSMUSG00000102841	1
ENSMUSG00000103776	0
ENSMUSG00000103597	1
ENSMUSG00000092633	0
ENSMUSG00002075163	0
ENSMUSG00000104525	0
ENSMUSG00000103867	22
ENSMUSG00000100018	0
ENSMUSG00000103493	5
ENSMUSG00000065412	0
ENSMUSG00000065548	0
ENSMUSG00000104010	52
ENSMUSG00000103443	15
ENSMUSG00000102389	0
ENSMUSG00000102897	0
ENSMUSG00000103032	8
ENSMUSG00000103320	34
ENSMUSG00000026573	3
ENSMUSG00002075650	0
ENSMUSG00000083064	0
ENSMUSG00000089967	6
ENSMUSG00000102302	301
ENSMUSG00000090322	4
ENSMUSG00000049515	7
ENSMUSG00000104427	3
ENSMUSG00000089299	0
ENSMUSG00000102401	2
ENSMUSG00000103763	9
ENSMUSG00000102236	0
ENSMUSG00002076810	0
ENSMUSG00002075165	0
ENSMUSG00000104297	0
ENSMUSG00000102307	0
ENSMUSG00000098680	0
ENSMUSG00000037432	2
ENSMUSG00000101911	0
ENSMUSG00000101958	0
ENSMUSG00000100980	6
ENSMUSG00000101414	0
ENSMUSG00000102745	0
ENSMUSG00000103059	2
ENSMUSG00000103583	5
ENSMUSG00002076323	2
ENSMUSG00002074951	1
ENSMUSG00000104474	1
ENSMUSG00000103098	5
ENSMUSG00000104517	0
ENSMUSG00000103101	1
ENSMUSG00000102565	2
ENSMUSG00000101522	0
ENSMUSG00002075583	0
ENSMUSG00000098288	0
ENSMUSG00000104306	1
ENSMUSG00000067064	0
ENSMUSG00002076221	0
ENSMUSG00000058904	0
ENSMUSG00000097001	0
ENSMUSG00000099363	0
ENSMUSG00000046300	0
ENSMUSG00000107778	0
ENSMUSG00000062497	0
